name,ccode,term,notes
Niger,NER,50,
Nigeria,NGA,70,
Niue,NIU,,
Norfolk Island,NFK,,
Northern Mariana Islands,MNP,,
Norway,NOR,70,
Oman,OMN,70,
Pakistan,PAK,50,
Palau,PLW,50,
"Palestine, State of",PSE,,
Panama,PAN,50,
Papua New Guinea,PNG,50,
Paraguay,PRY,70,
Peru,PER,70,
Philippines,PHL,50,
Pitcairn,PCN,,
Poland,POL,70,
Portugal,PRT,70,
Puerto Rico,PRI,,
Qatar,QAT,50,
Romania,ROU,70,
Russian Federation,RUS,70,
Rwanda,RWA,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=194215
Reunion,REU,,
Saint Barthalemy,BLM,,
Saint Helena,SHN,50,
Saint Kitts and Nevis,KNA,50,
Saint Lucia,LCA,50,
Saint Martin (French part),MAF,,
Saint Pierre and Miquelon,SPM,,
Saint Vincent and the Grenadines,VCT,75,
Samoa,WSM,75,
San Marino,SMR,50,
Sao Tome and Principe,STP,,http://www.wipo.int/wipolex/en/text.jsp?file_id=198054
Saudi Arabia,SAU,50,
Senegal,SEN,70,
Serbia,SRB,70,
Seychelles,SYC,50,
Sierra Leone,SLE,50,
Singapore,SGP,70,
Sint Maarten (Dutch part),SXM,50,
Slovakia,SVK,70,
Slovenia,SVN,70,
Solomon Islands,SLB,50,
Somalia,SOM,,
South Africa,ZAF,50,
South Georgia and the South Sandwich Islands,SGS,,
South Sudan,SSD,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=246810
Spain,ESP,70,
Sri Lanka,LKA,70,
Sudan,SDN,50,
Suriname,SUR,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=209838#LinkTarget_414
Svalbard and Jan Mayen,SJM,,
Swaziland,SWZ,50,
Sweden,SWE,70,
Switzerland,CHE,70,
Syrian Arab Republic,SYR,50,
"Taiwan, Province of China",TWN,50,
Tajikistan,TJK,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=237351#LinkTarget_328
United Republic of Tanzania,TZA,50,
Thailand,THA,50,
Timor-Leste,TLS,50,
Togo,TGO,50,
Tokelau,TKL,,
Tonga,TON,50,
Trinidad and Tobago,TTO,50,
Tunisia,TUN,50,
Turkey,TUR,70,
Turkmenistan,TKM,50,
Turks and Caicos Islands,TCA,,
Tuvalu,TUV,50,
Uganda,UGA,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=141975
Ukraine,UKR,70,
United Arab Emirates,ARE,50,
United Kingdom,GBR,70,
United States,USA,70,?
United States Minor Outlying Islands,UMI,,
Uruguay,URY,50,
Uzbekistan,UZB,50,
Vanuatu,VUT,50,
Venezuela,VEN,60,
Viet Nam,VNM,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=274445
British Virgin Islands,VGB,,
US Virgin Islands,VIR,,
Wallis and Futuna,WLF,,
Western Sahara,ESH,,
Yemen,YEM,30,
Zambia,ZMB,50,
Zimbabwe,ZWE,50,
Aland Islands,ALA,,
